Titre	Lien	Date	Résumé
Ouverture des inscriptions aux Journées BiblioPat 2017	http://www.bibliopat.fr/actualite-BiblioPat/ouverture-des-inscriptions-aux-journees-bibliopat-2017	Mon, 25 Sep 2017 14:43:04 +0000	"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><div class=""field field-name-body field-type-text-with-summary field-label-hidden"">
<div class=""field-items"">
<div class=""field-item even"">
<div class=""field field-name-body field-type-text-with-summary field-label-hidden"">
<div class=""field-items"">
<div class=""field-item even"">
<p>Les journées d'étude BiblioPat 2017<em><strong> </strong></em> <strong><em>La valeur atteint-elle le nombre des années ? De la notion de valeur appliquée aux collections patrimoniales</em></strong> auront lieu les <strong>jeudi 9 et vendredi 10 novembre 2017</strong> à l'auditorium Colbert de l'Institut national d'Histoire de l'Art à Paris.</p>
<p>Le programme prévisionnel est <a href=""/journees-detude/journees-bibliopat-2017-la-valeur-atteint-elle-le-nombre-des-annees"">disponible ici</a>. <strong>L'inscription est gratuite et obligatoire</strong> (l'authentification sur le site est nécessaire).<br /><em>Attentions, <strong>les inscriptions sont closes depuis le 08/11 à 13 heures.</strong></em></p>
<p>Les Journées seront précédées de l'Assemblée générale de l'association BiblioPat, jeudi 9 novembre à 10h. N'hésitez pas à <a href=""/adherer-a-lassociation"">adhérer à l'association</a></p>
</div>
</div>
</div>
</div>
</div>
</div>
</div></div></div><span class=""submitted-by""><i>Posté le 25 Septembre 2017</i></span><ul class=""links inline""><li class=""node-readmore first""><a href=""/actualite-BiblioPat/ouverture-des-inscriptions-aux-journees-bibliopat-2017"" rel=""tag"" title=""Ouverture des inscriptions aux Journées BiblioPat 2017"">Lire la suite<span class=""element-invisible""> de Ouverture des inscriptions aux Journées BiblioPat 2017</span></a></li>
<li class=""comment_forbidden last""><span><a href=""/user/login?destination=node/2903%23comment-form"">Connectez-vous</a> ou <a href=""/user/register?destination=node/2903%23comment-form"">inscrivez-vous</a> pour publier un commentaire</span></li>
</ul>"
TEAM @BiblioPat_fr : ça gazouille	http://www.bibliopat.fr/actualite-BiblioPat/team-bibliopatfr-ca-gazouille	Wed, 08 Feb 2017 15:14:34 +0000	"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p>Twitter, pour quoi faire? Suivre les actu BiblioPat en live ; veille collaborative (Infos, colloques, journées d'étude, expositions, bases de données, perles de la liste, offres d'emploi...). Soyez de la TEAM <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/BiblioPat?src=hash""><s>#</s><b>BiblioPat</b></a> ! </p>
<p>&#13;<br />
&#13;</p>
<p><img alt="""" src=""http://www.bibliopat.fr/sites/default/files/2017_02_01_twittteam.jpg"" style=""width:100%"" /></p>
<p>&#13;</p>
</div></div></div><span class=""submitted-by""><i>Posté le 8 Février 2017</i></span><ul class=""links inline""><li class=""node-readmore first""><a href=""/actualite-BiblioPat/team-bibliopatfr-ca-gazouille"" rel=""tag"" title=""TEAM @BiblioPat_fr : ça gazouille"">Lire la suite<span class=""element-invisible""> de TEAM @BiblioPat_fr : ça gazouille</span></a></li>
<li class=""comment_forbidden last""><span><a href=""/user/login?destination=node/1682%23comment-form"">Connectez-vous</a> ou <a href=""/user/register?destination=node/1682%23comment-form"">inscrivez-vous</a> pour publier un commentaire</span></li>
</ul>"
Voeux de l'association	http://www.bibliopat.fr/actualite-BiblioPat/voeux-de-lassociation	Mon, 16 Jan 2017 16:51:02 +0000	"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p><strong>Le conseil d'administration de BiblioPat vous présente ses meilleurs voeux!</strong></p>
<p><a href=""http://www.bibliopat.fr/sites/default/files/carte_de_voeux3-2017.png""><img alt=""Carte de voeux 2017"" src=""http://www.bibliopat.fr/sites/default/files/carte_de_voeux3-2017.png"" style=""width: 100%;"" /></a></p>
</div></div></div><span class=""submitted-by""><i>Posté le 16 Janvier 2017</i></span><ul class=""links inline""><li class=""node-readmore first""><a href=""/actualite-BiblioPat/voeux-de-lassociation"" rel=""tag"" title=""Voeux de l&#039;association"">Lire la suite<span class=""element-invisible""> de Voeux de l&#039;association</span></a></li>
<li class=""comment_forbidden last""><span><a href=""/user/login?destination=node/1536%23comment-form"">Connectez-vous</a> ou <a href=""/user/register?destination=node/1536%23comment-form"">inscrivez-vous</a> pour publier un commentaire</span></li>
</ul>"
"Visites guidées de l'exposition ""Des livres et des lettres"" (Bib. Mazarine)"	http://www.bibliopat.fr/actualite-BiblioPat/visites-guidees-de-lexposition-des-livres-et-des-lettres-bib-mazarine	Sat, 19 Nov 2016 13:57:53 +0000	"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p>Lundi 28 nov. 2016 à 18 h ou Jeudi 1er déc. 2016 à 18 h : visites guidées organisées pour les abonnées à BiblioPat de l'exposition <a href=""http://www.bibliotheque-mazarine.fr/fr/evenements/expositions/liste-des-expositions/des-livres-et-des-lettres-ouvrages-epistolaires-entre-italie-et-france-de-la-renaissance-a-l-age-baroque"">""Des livres et des lettres : ouvrages épistolaires entre Italie et France de la Renaissance à l'âge baroque""</a></p></div></div></div><span class=""submitted-by""><i>Posté le 19 Novembre 2016</i></span><ul class=""links inline""><li class=""node-readmore first""><a href=""/actualite-BiblioPat/visites-guidees-de-lexposition-des-livres-et-des-lettres-bib-mazarine"" rel=""tag"" title=""Visites guidées de l&#039;exposition &quot;Des livres et des lettres&quot; (Bib. Mazarine)"">Lire la suite<span class=""element-invisible""> de Visites guidées de l&#039;exposition &quot;Des livres et des lettres&quot; (Bib. Mazarine)</span></a></li>
<li class=""comment_forbidden last""><span><a href=""/user/login?destination=node/1490%23comment-form"">Connectez-vous</a> ou <a href=""/user/register?destination=node/1490%23comment-form"">inscrivez-vous</a> pour publier un commentaire</span></li>
</ul>"
Participez aux concours pour les 10 ans de BiblioPat	http://www.bibliopat.fr/actualite-BiblioPat/participez-aux-concours-pour-les-10-ans-de-bibliopat	Tue, 25 Oct 2016 09:16:23 +0000	"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><h1><img alt="""" src=""http://www.bibliopat.fr/sites/default/files/signet.jpg"" style=""height: 51px; width: 199px;"" /></h1>
<p>Participez aux concours mis en place par l'association BiblioPat pour ses 10 ans en soumettant des propositions !</p>
<ul><li><a href=""/participez-au-prix-de-lanecdote-10-ans-de-bibliopat"">Prix de l'anecdote</a></li>
<li><a href=""/participez-au-prix-de-la-photo-10-ans-de-bibliopat"">Prix de la photo</a></li>
</ul></div></div></div><span class=""submitted-by""><i>Posté le 25 Octobre 2016</i></span><ul class=""links inline""><li class=""node-readmore first""><a href=""/actualite-BiblioPat/participez-aux-concours-pour-les-10-ans-de-bibliopat"" rel=""tag"" title=""Participez aux concours pour les 10 ans de BiblioPat"">Lire la suite<span class=""element-invisible""> de Participez aux concours pour les 10 ans de BiblioPat</span></a></li>
<li class=""comment_forbidden last""><span><a href=""/user/login?destination=node/1398%23comment-form"">Connectez-vous</a> ou <a href=""/user/register?destination=node/1398%23comment-form"">inscrivez-vous</a> pour publier un commentaire</span></li>
</ul>"
Ouverture des inscriptions aux Journées BiblioPat 2016	http://www.bibliopat.fr/actualite-BiblioPat/ouverture-des-inscriptions-aux-journees-bibliopat-2016	Mon, 10 Oct 2016 12:41:54 +0000	"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p>Les journées d'étude BiblioPat 2016<em><strong> </strong></em> <strong><em>Publics, medias et médiations du patrimoine</em></strong> auront lieu les <strong>jeudi 17 et vendredi 18 novembre 2016</strong> au Musée de l’Homme à Paris.</p>
<p>Consulter le <a href=""/journees-detude/journees-detude-2016-publics-medias-et-mediations-du-patrimoine"">programme</a>. <s><strong>S'inscrire (inscription gratuite et obligatoire).</strong></s><strong> Les inscriptions sont closes</strong></p>
</div></div></div><span class=""submitted-by""><i>Posté le 10 Octobre 2016</i></span><ul class=""links inline""><li class=""node-readmore first""><a href=""/actualite-BiblioPat/ouverture-des-inscriptions-aux-journees-bibliopat-2016"" rel=""tag"" title=""Ouverture des inscriptions aux Journées BiblioPat 2016"">Lire la suite<span class=""element-invisible""> de Ouverture des inscriptions aux Journées BiblioPat 2016</span></a></li>
<li class=""comment_forbidden last""><span><a href=""/user/login?destination=node/1315%23comment-form"">Connectez-vous</a> ou <a href=""/user/register?destination=node/1315%23comment-form"">inscrivez-vous</a> pour publier un commentaire</span></li>
</ul>"
Meilleurs voeux 2016	http://www.bibliopat.fr/actualite-BiblioPat/meilleurs-voeux-2016	Fri, 29 Jan 2016 07:15:59 +0000	"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p><a href=""http://www.bibliopat.fr/sites/default/files/carte_de_voeux_2016-1.png"" target=""_blank""><img alt=""  "" src=""http://bibliopat.fr/sites/default/files/carte_de_voeux_2016-1.png"" style=""height:128px; line-height:23.1111px; width:200px"" /></a></p>
</div></div></div><span class=""submitted-by""><i>Posté le 29 Janvier 2016</i></span><ul class=""links inline""><li class=""node-readmore first""><a href=""/actualite-BiblioPat/meilleurs-voeux-2016"" rel=""tag"" title=""Meilleurs voeux 2016"">Lire la suite<span class=""element-invisible""> de Meilleurs voeux 2016</span></a></li>
<li class=""comment_forbidden last""><span><a href=""/user/login?destination=node/1195%23comment-form"">Connectez-vous</a> ou <a href=""/user/register?destination=node/1195%23comment-form"">inscrivez-vous</a> pour publier un commentaire</span></li>
</ul>"
Journées BiblioPat 2015 en images	http://www.bibliopat.fr/actualite-BiblioPat/journees-bibliopat-2015-en-images	Fri, 13 Nov 2015 10:12:43 +0000	"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p>Retrouvez en <a href=""https://photos.google.com/share/AF1QipMAM47u7CIuK6UJt3z13bQh3qtuQchR08VeAok6eLwd8-lCtHsh-7a1CqLa-MGAvQ?key=ckhUdzRTZjhNLTNRY0t2aW1ubHVQZF9VY1BHTFhR"">images</a> les journées 2015 qui se sont déroulées au Conservatoire national des arts et métiers les 5 et 6 novembre.</p>
<p>&#13;</p>
</div></div></div><span class=""submitted-by""><i>Posté le 13 Novembre 2015</i></span><ul class=""links inline""><li class=""node-readmore first""><a href=""/actualite-BiblioPat/journees-bibliopat-2015-en-images"" rel=""tag"" title=""Journées BiblioPat 2015 en images"">Lire la suite<span class=""element-invisible""> de Journées BiblioPat 2015 en images</span></a></li>
<li class=""comment_forbidden last""><span><a href=""/user/login?destination=node/1161%23comment-form"">Connectez-vous</a> ou <a href=""/user/register?destination=node/1161%23comment-form"">inscrivez-vous</a> pour publier un commentaire</span></li>
</ul>"
Fin de l'ouverture des contenus aux abonnés	http://www.bibliopat.fr/actualite-BiblioPat/fin-de-louverture-des-contenus-aux-abonnes	Thu, 30 Apr 2015 16:40:11 +0000	"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p>Les rubriques <strong>Ressources </strong>et <strong>Journées d'étude</strong> du site, d'habitude réservées aux adhérents, étaient exceptionnellement ouvertes aux simples abonnés de la liste depuis le 9 mars 2015. Cette ouverture a maintenant pris fin. Merci à tous ceux qui se sont inscrits sur le site à cette occasion.</p>
</div></div></div><span class=""submitted-by""><i>Posté le 30 Avril 2015</i></span><ul class=""links inline""><li class=""node-readmore first""><a href=""/actualite-BiblioPat/fin-de-louverture-des-contenus-aux-abonnes"" rel=""tag"" title=""Fin de l&#039;ouverture des contenus aux abonnés"">Lire la suite<span class=""element-invisible""> de Fin de l&#039;ouverture des contenus aux abonnés</span></a></li>
<li class=""comment_forbidden last""><span><a href=""/user/login?destination=node/882%23comment-form"">Connectez-vous</a> ou <a href=""/user/register?destination=node/882%23comment-form"">inscrivez-vous</a> pour publier un commentaire</span></li>
</ul>"
"Visite guidée de l'exposition ""De l'argile au nuage : une archéologie des catalogues"""	http://www.bibliopat.fr/actualite-BiblioPat/visite-guidee-de-lexposition-de-largile-au-nuage-une-archeologie-des-catalogues	Tue, 14 Apr 2015 15:05:28 +0000	"<div class=""field field-name-body field-type-text-with-summary field-label-hidden""><div class=""field-items""><div class=""field-item even"" property=""content:encoded""><p>La Bibliothèque Mazarine organise jusqu'au 13 mai 2015, l'exposition ""<a href=""http://www.bibliotheque-mazarine.fr/fr/evenements/expositions?id=2344:de-l-argile-au-nuage-une-archeologie-des-catalogues-2e-millenaire-av-j-c-21e-siecle"" target=""_blank"">De l'argile au nuage : une archéologie des catalogues</a>"".</p>
</div></div></div><span class=""submitted-by""><i>Posté le 14 Avril 2015</i></span><ul class=""links inline""><li class=""node-readmore first""><a href=""/actualite-BiblioPat/visite-guidee-de-lexposition-de-largile-au-nuage-une-archeologie-des-catalogues"" rel=""tag"" title=""Visite guidée de l&#039;exposition &quot;De l&#039;argile au nuage : une archéologie des catalogues&quot;"">Lire la suite<span class=""element-invisible""> de Visite guidée de l&#039;exposition &quot;De l&#039;argile au nuage : une archéologie des catalogues&quot;</span></a></li>
<li class=""comment_forbidden last""><span><a href=""/user/login?destination=node/876%23comment-form"">Connectez-vous</a> ou <a href=""/user/register?destination=node/876%23comment-form"">inscrivez-vous</a> pour publier un commentaire</span></li>
</ul>"
